1,999.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,999.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,999.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,999.0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
5,999.0,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
6,999.0,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
7,999.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8,999.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
9,999.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
10,999.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
11,999.0,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
12,999.0,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
